City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,minas de marcona,-15.2119,-75.1103,18.29,86,90,3.7,PE,1709713693
158,east london,-33.0153,27.9116,25.52,41,0,5.66,ZA,1709713693
159,mahina,-17.5065,-149.489,27.87,74,75,1.54,PF,1709713694
160,kroya,-7.6331,109.2461,29.44,78,83,3.8,ID,1709713694
161,alenquer,-1.9417,-54.7383,23.35,95,62,1.51,BR,1709713505
162,palmer,42.1584,-72.3287,6.03,85,100,1.54,US,1709713694
163,hasaki,35.7333,140.8333,7.38,77,100,13.47,JP,1709713694
164,floro,61.5996,5.0328,2.04,80,20,3.6,NO,1709713694
165,jinchang,38.4953,102.1739,2.64,35,72,7.72,CN,1709713694
166,saudarkrokur,65.7461,-19.6394,0.67,81,100,3.81,IS,1709713694
167,hovd,48.0056,91.6419,-5.81,41,4,2.11,MN,1709713695
168,akjoujt,19.6969,-14.4164,20.74,15,1,4.01,MR,1709713695
169,mount gambier,-37.8333,140.7667,19.33,73,3,4.25,AU,1709713539
170,georgetown,5.4112,100.3354,32.96,66,20,5.66,MY,1709713610
171,puerto baquerizo moreno,-0.9,-89.6,24.77,83,39,1.25,EC,1709713695
172,kindu,-2.95,25.95,27.55,63,100,1.54,CD,1709713695
173,coahuayana de hidalgo,18.7,-103.6583,19.69,73,1,1.64,MX,1709713695
174,mount isa,-20.7333,139.5,33.87,40,92,6.17,AU,1709713695
175,port augusta,-32.5,137.7667,28.71,38,100,9.48,AU,1709713696
176,polyarnyy,69.1989,33.4478,0.01,85,100,4.41,RU,1709713696
177,carnarvon,-24.8667,113.6333,30.28,65,20,6.27,AU,1709713696
178,kailua-kona,19.6406,-155.9956,23.98,84,75,3.09,US,1709713696
179,sidi ifni,29.3797,-10.173,13.86,83,60,1.46,MA,1709713696
180,paungde,18.4833,95.5,38.64,11,32,4.15,MM,1709713696
181,kerikeri,-35.2268,173.9474,16.06,78,10,0.44,NZ,1709713696
182,charters towers,-20.1,146.2667,27.83,63,28,5.87,AU,1709713696
183,ambodifotatra,-16.9833,49.85,28.07,76,46,1.17,MG,1709713696
184,angaur state,6.906,134.13,27.47,77,100,5.85,PW,1709713696
185,yushu,44.8,126.5333,-4.76,81,5,1.49,CN,1709713697
186,udachny,66.4167,112.4,-15.96,91,20,1.5,RU,1709713697
187,usinsk,65.9939,57.5281,-18.29,94,24,1.34,RU,1709713697
188,utrik,11.2278,169.8474,26.36,78,100,11.11,MH,1709713697
189,okakarara,-20.5833,17.4333,27.06,17,3,1.92,NA,1709713697
190,labytnangi,66.6572,66.4183,-16.85,85,91,1.48,RU,1709713697
191,bathsheba,13.2167,-59.5167,25.34,78,40,6.17,BB,1709713697
192,huicungo,-7.2833,-76.8,21.56,99,100,0.55,PE,1709713697
193,la passe,45.5549,-0.8967,7.23,94,100,3.39,FR,1709713697
194,yilan,24.757,121.753,18.34,81,100,2.83,TW,1709713697
195,gorgoram,12.6398,10.7039,31.78,10,100,4.46,NG,1709713698
196,happy valley-goose bay,53.3168,-60.3315,-3.83,93,75,2.06,CA,1709713698
197,portland,45.5234,-122.6762,2.11,93,0,0.89,US,1709713684
198,alappuzha,9.49,76.3264,30.34,67,95,7.36,IN,1709713409
199,murzuq,25.9155,13.9184,17.61,33,0,5.68,LY,1709713698
200,napier,-39.4833,176.9167,13.49,73,28,2.4,NZ,1709713419
201,mingshui,36.7167,117.5,8.1,31,59,2.63,CN,1709713698
202,muisne,0.6,-80.0333,24.44,89,66,1.3,EC,1709713698
203,tazovsky,67.4667,78.7,-12.38,93,100,6.74,RU,1709713698
204,middlesboro,36.6084,-83.7166,14.58,91,100,2.4,US,1709713698
205,aykhal,66.0,111.5,-15.0,94,63,1.86,RU,1709713698
206,lichtenburg,-26.152,26.1597,29.68,15,5,3.11,ZA,1709713699
